#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.66846     1.66846           0
           2     1.72988     1.69917   0.0217129
           3     1.61741     1.67192   0.0265461
           4     1.67178     1.67188   0.0199096
           5     1.73298      1.6841   0.0193167
           6     1.65671     1.67954    0.016628
           7     1.65995     1.67674   0.0144862
           8     1.71271     1.68123   0.0133549
           9     1.66197     1.67909   0.0120413
          10      1.6592      1.6771   0.0110002
          11     1.65318     1.67493    0.010213
          12     1.71304     1.67811  0.00984343
          13     1.73238     1.68228  0.00993225
          14     1.63957     1.67923  0.00967997
          15     1.64461     1.67692  0.00930566
          16     1.65991     1.67586  0.00878461
          17     1.67052     1.67554  0.00827349
          18     1.69474     1.67661   0.0078823
          19      1.6658     1.67604  0.00748797
          20     1.70992     1.67774  0.00730268
