#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.09464    -0.09464           0
           2    0.180998    0.043179   0.0974527
           3    0.037602     0.04132   0.0649862
           4   -0.101726   0.0055585    0.057747
           5   -0.030902  -0.0017336   0.0466558
           6    -0.06861  -0.0128797   0.0401892
           7   -0.026892  -0.0148814   0.0344977
           8    0.038606  -0.0081955   0.0308265
           9    -0.05609  -0.0135171   0.0278569
          10   -0.025242  -0.0146896   0.0250959
          11   -0.049536  -0.0178575   0.0230135
          12    0.181224 -0.00126733   0.0264069
          13   -0.118238  -0.0102651   0.0258632
          14   -0.058362  -0.0137006   0.0242429
          15   -0.147802  -0.0226407   0.0242191
          16    -0.10595  -0.0278475   0.0232584
          17   -0.060306  -0.0297568   0.0219685
          18    -0.14488  -0.0361526    0.021659
          19   -0.205554  -0.0450684   0.0222787
          20     0.11027  -0.0373015   0.0224779
