#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.104979    0.104979           0
           2    0.106397    0.105688 0.000501414
           3    0.105889    0.105755 0.000338719
           4    0.106302    0.105892 0.000280281
           5    0.107225    0.106159 0.000327387
           6    0.105741    0.106089  0.00028014
           7    0.108242    0.106397 0.000372489
           8    0.104625    0.106175  0.00038621
           9    0.104554    0.105995 0.000382995
          10    0.105854    0.105981 0.000344957
          11    0.103999    0.105801 0.000357578
          12    0.104854    0.105722  0.00033637
          13    0.106652    0.105793 0.000318024
          14    0.105664    0.105784 0.000295442
          15    0.106775     0.10585 0.000283041
          16    0.106838    0.105912 0.000272002
          17     0.10495    0.105855 0.000261819
          18    0.106739    0.105904 0.000251832
          19    0.105299    0.105873 0.000240588
          20     0.10584    0.105871 0.000228564
