#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.376864    0.376864           0
           2    0.378234    0.377549 0.000484446
           3    0.374984    0.376694 0.000769135
           4    0.369599     0.37492  0.00164079
           5    0.372814    0.374499  0.00136564
           6    0.370878    0.373896   0.0012644
           7    0.367002    0.372911  0.00141625
           8    0.368043    0.372302  0.00136369
           9    0.367294    0.371746  0.00132085
          10    0.367928    0.371364  0.00124272
          11    0.366905    0.370959  0.00119404
          12    0.377294    0.371487  0.00120562
          13    0.371326    0.371474  0.00111294
          14    0.361259    0.370745  0.00124994
          15    0.381511    0.371462  0.00135713
          16     0.36745    0.371212  0.00129528
          17    0.370048    0.371143  0.00122089
          18    0.378443    0.371549  0.00121857
          19    0.364989    0.371203  0.00120235
          20    0.376778    0.371482   0.0011741
