#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.022828    0.022828           0
           2    0.011322    0.017075  0.00406799
           3   -0.014758    0.006464  0.00907839
           4    0.011032    0.007606  0.00688024
           5   -0.008516   0.0043816  0.00621398
           6   -0.001906  0.00333367  0.00526594
           7   -0.006072     0.00199  0.00468195
           8   -0.004836  0.00113675  0.00417373
           9   -0.003012 0.000675778  0.00373535
          10     0.00616   0.0012242  0.00340184
          11    -0.00376 0.000771091  0.00312261
          12   -0.011374   -0.000241  0.00302196
          13   -0.001862-0.000365692  0.00279208
          14    0.002882-0.000133714  0.00260226
          15   -0.000478-0.000156667  0.00242888
          16    0.000616-0.000108375  0.00227755
          17   -0.001966-0.000217647   0.0021462
          18    0.003258-2.45556e-05  0.00203563
          19    0.001788 7.08421e-05  0.00193073
          20   -0.007894  -0.0003274  0.00187481
