#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.425604   -0.425604           0
           2   -0.425812   -0.425708 7.35391e-05
           3   -0.426116   -0.425844 0.000121385
           4   -0.424832   -0.425591 0.000237265
           5   -0.422944   -0.425062 0.000510137
           6   -0.425484   -0.425132 0.000429945
           7   -0.426328   -0.425303 0.000401038
           8   -0.424928   -0.425256 0.000353635
           9   -0.425644   -0.425299 0.000316959
          10    -0.42582   -0.425351 0.000289512
          11   -0.424172   -0.425244 0.000282343
          12   -0.427428   -0.425426 0.000312007
          13   -0.429488   -0.425738 0.000416017
          14   -0.425028   -0.425688 0.000389384
          15   -0.425888   -0.425701 0.000363654
          16    -0.42564   -0.425697 0.000340946
          17    -0.42594   -0.425712 0.000321189
          18    -0.42382   -0.425606 0.000320074
          19   -0.425952   -0.425625 0.000303745
          20   -0.427664   -0.425727 0.000305193
