#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.40251     4.40251           0
           2     4.63618     4.51935   0.0826136
           3     4.28556     4.44142   0.0841543
           4     4.59192     4.47904   0.0710307
           5      4.3236     4.44795   0.0632632
           6     4.27333     4.41885   0.0590356
           7     4.36178      4.4107   0.0511618
           8     4.35357     4.40356   0.0452622
           9     4.26173      4.3878   0.0428885
          10     4.53633     4.40265   0.0410913
          11     4.32757     4.39583   0.0379185
          12     4.36109     4.39293   0.0348689
          13     4.55969     4.40576   0.0344654
          14     4.54453     4.41567   0.0333986
          15     4.32017      4.4093   0.0317731
          16     4.27717     4.40105   0.0308419
          17     4.36301     4.39881   0.0291087
          18     4.70437     4.41578   0.0320617
          19     4.31527     4.41049   0.0308076
          20     4.42025     4.41098   0.0292711
