#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.013072    0.013072           0
           2   -0.022826   -0.004877   0.0126919
           3    0.034704  0.00831667   0.0136982
           4     0.01509     0.01001   0.0103778
           5    -0.02709     0.00259   0.0106288
           6   -0.043654 -0.00511733   0.0113117
           7    0.033308    0.000372    0.010947
           8    0.016104   0.0023385  0.00975363
           9   -0.036318 -0.00195667    0.009569
          10   -0.031784  -0.0049394  0.00906506
          11   -0.021682 -0.00646145  0.00836776
          12     0.06163-0.000787167  0.00939948
          13    0.003476-0.000459231  0.00868216
          14     0.02379  0.00127286  0.00823297
          15   -0.006924   0.0007264  0.00770222
          16    -0.01148   -3.65e-05  0.00725851
          17    -0.01247-0.000767882  0.00686829
          18    0.032904  0.00110278  0.00673665
          19    0.010714  0.00160863  0.00640106
          20   -0.021266   0.0004649  0.00618234
