#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.005612   -0.005612           0
           2   -0.001796   -0.003704  0.00134916
           3   -0.000132 -0.00251333  0.00132443
           4   -0.000898  -0.0021095  0.00105309
           5    0.002074  -0.0012728  0.00112686
           6     -0.0007 -0.00117733 0.000943086
           7   -0.000396 -0.00106571 0.000814938
           8    -0.00255 -0.00125125 0.000733887
           9   -0.000162 -0.00113022 0.000662248
          10     0.00072  -0.0009452 0.000621332
          11    0.000272-0.000834545 0.000574617
          12    0.003768   -0.000451 0.000642102
          13   -0.004304-0.000747385 0.000657564
          14   -0.002264-0.000855714 0.000619455
          15    0.004246  -0.0005156 0.000665005
          16   -0.001674   -0.000588 0.000627371
          17    0.006598-0.000165294 0.000718903
          18     0.00217-3.55556e-05 0.000690571
          19   -0.000138-4.09474e-05 0.000654246
          20    0.000832     2.7e-06 0.000622988
