,sigma,epochs,train_dim,loss,val_loss
0,0.0,10.0,10.0,1.9239380359649658,1.6753736734390259
1,0.0,20.0,10.0,1.3554160594940186,1.2964633703231812
2,0.0,30.0,10.0,0.9801316261291504,1.0544606447219849
3,0.0,40.0,10.0,0.7309118509292603,0.8981564044952393
4,0.0,50.0,10.0,0.5640115141868591,0.7950665354728699
5,0.0,60.0,10.0,0.4509378969669342,0.7247087359428406
6,0.0,70.0,10.0,0.3731290400028229,0.6742668747901917
7,0.0,80.0,10.0,0.3184890151023865,0.6357990503311157
8,0.0,90.0,10.0,0.2791326642036438,0.6044458746910095
9,0.05263157894736842,10.0,10.0,1.9239380359649658,1.6753736734390259
10,0.05263157894736842,20.0,10.0,1.3554160594940186,1.2964633703231812
11,0.05263157894736842,30.0,10.0,0.9801315069198608,1.0544606447219849
12,0.05263157894736842,40.0,10.0,0.7309118509292603,0.8981564044952393
13,0.05263157894736842,50.0,10.0,0.5640115141868591,0.7950665354728699
14,0.05263157894736842,60.0,10.0,0.4509378969669342,0.7247087359428406
15,0.05263157894736842,70.0,10.0,0.3731289207935333,0.6742668747901917
16,0.05263157894736842,80.0,10.0,0.3184890151023865,0.6357990503311157
17,0.05263157894736842,90.0,10.0,0.2791326642036438,0.6044458150863647
18,0.10526315789473684,10.0,10.0,1.9239380359649658,1.6753736734390259
19,0.10526315789473684,20.0,10.0,1.3554160594940186,1.2964633703231812
20,0.10526315789473684,30.0,10.0,0.9801314473152161,1.0544606447219849
21,0.10526315789473684,40.0,10.0,0.7309118509292603,0.8981564044952393
22,0.10526315789473684,50.0,10.0,0.5640115737915039,0.7950665354728699
23,0.10526315789473684,60.0,10.0,0.45093774795532227,0.7247087359428406
24,0.10526315789473684,70.0,10.0,0.37312889099121094,0.6742668747901917
25,0.10526315789473684,80.0,10.0,0.31848904490470886,0.6357990503311157
26,0.10526315789473684,90.0,10.0,0.2791326344013214,0.6044458746910095
27,0.15789473684210525,10.0,10.0,1.9239380359649658,1.6753737926483154
28,0.15789473684210525,20.0,10.0,1.355415940284729,1.2964633703231812
29,0.15789473684210525,30.0,10.0,0.9801315069198608,1.0544606447219849
30,0.15789473684210525,40.0,10.0,0.7309118509292603,0.8981564044952393
31,0.15789473684210525,50.0,10.0,0.5640115141868591,0.7950665354728699
32,0.15789473684210525,60.0,10.0,0.45093780755996704,0.7247087359428406
33,0.15789473684210525,70.0,10.0,0.3731289207935333,0.6742668747901917
34,0.15789473684210525,80.0,10.0,0.31848904490470886,0.6357990503311157
35,0.15789473684210525,90.0,10.0,0.2791326642036438,0.6044458150863647
36,0.21052631578947367,10.0,10.0,1.9239380359649658,1.6753736734390259
37,0.21052631578947367,20.0,10.0,1.3554160594940186,1.2964633703231812
38,0.21052631578947367,30.0,10.0,0.9801315069198608,1.0544606447219849
39,0.21052631578947367,40.0,10.0,0.7309118509292603,0.8981564044952393
40,0.21052631578947367,50.0,10.0,0.5640115141868591,0.7950665354728699
41,0.21052631578947367,60.0,10.0,0.4509378969669342,0.7247087359428406
42,0.21052631578947367,70.0,10.0,0.3731289207935333,0.6742668747901917
43,0.21052631578947367,80.0,10.0,0.3184890151023865,0.6357990503311157
44,0.21052631578947367,90.0,10.0,0.2791326344013214,0.6044458746910095
45,0.2631578947368421,10.0,10.0,1.9239380359649658,1.6753736734390259
46,0.2631578947368421,20.0,10.0,1.355415940284729,1.2964633703231812
47,0.2631578947368421,30.0,10.0,0.9801315069198608,1.0544606447219849
48,0.2631578947368421,40.0,10.0,0.7309118509292603,0.8981564044952393
49,0.2631578947368421,50.0,10.0,0.5640115141868591,0.7950665354728699
50,0.2631578947368421,60.0,10.0,0.45093780755996704,0.7247087359428406
51,0.2631578947368421,70.0,10.0,0.37312889099121094,0.6742668747901917
52,0.2631578947368421,80.0,10.0,0.3184890151023865,0.6357990503311157
53,0.2631578947368421,90.0,10.0,0.2791326344013214,0.6044458746910095
54,0.3157894736842105,10.0,10.0,1.9239380359649658,1.6753736734390259
55,0.3157894736842105,20.0,10.0,1.355415940284729,1.2964633703231812
56,0.3157894736842105,30.0,10.0,0.9801316261291504,1.0544606447219849
57,0.3157894736842105,40.0,10.0,0.7309118509292603,0.8981564044952393
58,0.3157894736842105,50.0,10.0,0.5640115737915039,0.7950665354728699
59,0.3157894736842105,60.0,10.0,0.45093774795532227,0.7247087359428406
60,0.3157894736842105,70.0,10.0,0.37312889099121094,0.6742668747901917
61,0.3157894736842105,80.0,10.0,0.3184890151023865,0.6357990503311157
62,0.3157894736842105,90.0,10.0,0.2791326642036438,0.6044458746910095
63,0.3684210526315789,10.0,10.0,1.9239380359649658,1.6753736734390259
64,0.3684210526315789,20.0,10.0,1.355415940284729,1.2964633703231812
65,0.3684210526315789,30.0,10.0,0.9801316261291504,1.0544606447219849
