,sigma,epochs,train_dim,loss,val_loss
0,0.07364536362632146,85,39,0.05183936282992363,0.06156771630048752
1,0.07364536362632146,26,198,0.008270787075161934,0.008430643007159233
2,0.07364536362632146,30,20,0.6353862881660461,0.44635269045829773
3,0.07364536362632146,77,412,0.005514085758477449,0.0038027402479201555
4,0.07364536362632146,48,339,0.00835319235920906,0.009227115660905838
5,0.07364536362632146,25,125,1.2216989994049072,1.2275822162628174
6,0.07364536362632146,61,267,0.005940077360719442,0.005728438962250948
7,0.07364536362632146,52,54,1.1186926364898682,1.316843867301941
8,0.07364536362632146,90,79,0.032636381685733795,0.02966303378343582
9,0.07364536362632146,61,23,0.6565595865249634,0.5544583201408386
10,0.07364536362632146,55,252,0.00803171657025814,0.009954242967069149
11,0.07364536362632146,82,184,0.0055805412121117115,0.00538021931424737
12,0.07364536362632146,84,219,0.007313971873372793,0.007112558931112289
13,0.07364536362632146,21,341,0.04586664214730263,0.04105429723858833
14,0.07364536362632146,96,226,0.005085438024252653,0.0059152329340577126
15,0.07364536362632146,64,50,0.7263091802597046,0.9430111646652222
16,0.07364536362632146,76,447,0.005323705729097128,0.004650064278393984
17,0.07364536362632146,36,86,0.11729395389556885,0.09255126863718033
18,0.07364536362632146,19,83,0.5046346187591553,0.48037880659103394
19,0.07364536362632146,38,203,0.04126184061169624,0.03709957003593445
20,0.07364536362632146,50,130,0.015218459069728851,0.015408231876790524
21,0.07364536362632146,43,84,0.38464608788490295,0.31795206665992737
22,0.07364536362632146,99,244,0.005072182975709438,0.007143597584217787
23,0.07364536362632146,65,89,0.09775833785533905,0.07900746166706085
24,0.07364536362632146,18,260,0.3835946321487427,0.47031256556510925
25,0.07364536362632146,91,140,0.021536782383918762,0.020675549283623695
26,0.07364536362632146,22,492,0.01874525099992752,0.018373163416981697
27,0.07364536362632146,95,429,0.005452687386423349,0.004149611573666334
28,0.07364536362632146,36,423,0.007095358334481716,0.005694122519344091
29,0.07364536362632146,68,327,0.0050942301750183105,0.005674856249243021
30,0.07364536362632146,75,63,0.04604338854551315,0.06066405400633812
31,0.07364536362632146,34,182,0.17082516849040985,0.15387916564941406
32,0.07364536362632146,94,456,0.005334565415978432,0.004619970452040434
33,0.07364536362632146,74,337,0.005300956312566996,0.006030484568327665
34,0.07364536362632146,60,174,0.021631278097629547,0.016465410590171814
35,0.07364536362632146,74,35,0.5435136556625366,0.6563490033149719
36,0.07364536362632146,41,359,0.010711620561778545,0.01293343398720026
37,0.07364536362632146,67,90,0.041113171726465225,0.029822036623954773
38,0.07364536362632146,43,322,0.00950914528220892,0.006673341616988182
