,loss_1layers,loss_2layers,loss_3layers,loss_4layers,val_loss_1layers,val_loss_2layers,val_loss_3layers,val_loss_4layers
0,11.712335586547852,12.66331672668457,11.455422401428223,11.025233268737793,11.31100845336914,12.317765235900879,10.5028657913208,10.152548789978027
1,10.909178733825684,12.111141204833984,9.320941925048828,9.084390640258789,10.500328063964844,11.954692840576172,7.915892124176025,7.996004581451416
2,10.087843894958496,11.739076614379883,6.22017765045166,6.577831268310547,9.667898178100586,11.558442115783691,4.446697235107422,5.268080234527588
3,9.242033004760742,11.30173397064209,2.886699914932251,3.8205299377441406,8.800808906555176,11.045953750610352,2.3150148391723633,2.994037389755249
4,8.359946250915527,10.690264701843262,1.6354464292526245,2.299849033355713,7.906312942504883,10.292893409729004,2.0475831031799316,2.5973992347717285
5,7.448941707611084,9.75954818725586,1.374529242515564,2.0042738914489746,6.985347270965576,9.132390975952148,1.631255030632019,2.3762929439544678
6,6.525538444519043,8.42939567565918,1.1045711040496826,1.7454297542572021,6.067988395690918,7.6895670890808105,1.3521618843078613,2.1237289905548096
7,5.6167120933532715,6.9496002197265625,0.8947170376777649,1.5395833253860474,5.165907382965088,6.201405048370361,1.1164839267730713,1.9332507848739624
8,4.735381603240967,5.455830097198486,0.7081328630447388,1.360636591911316,4.30769681930542,4.7165398597717285,0.9006494879722595,1.700539231300354
9,3.905996799468994,3.989640474319458,0.546047031879425,1.1989492177963257,3.5274012088775635,3.3413214683532715,0.7217153906822205,1.503336787223816
10,3.1559348106384277,2.761134386062622,0.4132874310016632,1.036689043045044,2.847090482711792,2.243264675140381,0.5687893033027649,1.2954678535461426
11,2.509519338607788,1.8090336322784424,0.31539371609687805,0.8807545900344849,2.268623113632202,1.592226266860962,0.4396648705005646,1.096145749092102
12,1.9612057209014893,1.2652004957199097,0.24363164603710175,0.7204723358154297,1.8172661066055298,1.277759075164795,0.3302595019340515,0.9050737023353577
13,1.5307132005691528,0.9825009703636169,0.18608039617538452,0.5700809359550476,1.4741599559783936,1.139506220817566,0.26532256603240967,0.6997852921485901
14,1.2160300016403198,0.8267829418182373,0.1474890559911728,0.42620769143104553,1.2324215173721313,1.0459789037704468,0.20001037418842316,0.5014498829841614
15,0.9866088032722473,0.7062879800796509,0.1175408884882927,0.2851574420928955,1.0854902267456055,0.942313015460968,0.154743030667305,0.3119848966598511
16,0.8364084959030151,0.6162330508232117,0.09522794932126999,0.1840931475162506,0.9968095421791077,0.8388040065765381,0.12983658909797668,0.21809688210487366
17,0.7428112626075745,0.5396239161491394,0.07751333713531494,0.11813446134328842,0.9424121975898743,0.7509191632270813,0.1049538254737854,0.13825000822544098
18,0.6787093281745911,0.4762246906757355,0.06479240208864212,0.08233550190925598,0.9104399085044861,0.6710431575775146,0.08386954665184021,0.09764214605093002
19,0.6389169692993164,0.4191003143787384,0.05367067828774452,0.061903759837150574,0.8875163197517395,0.5956280827522278,0.0738646611571312,0.07472337782382965
20,0.6100873351097107,0.36854079365730286,0.045999329537153244,0.04986840486526489,0.8684431314468384,0.5252968072891235,0.057028528302907944,0.05923330411314964
21,0.5870748162269592,0.3239947259426117,0.04049735516309738,0.042484089732170105,0.8512308597564697,0.4626722037792206,0.05102432146668434,0.05014565959572792
22,0.5704302787780762,0.2861901521682739,0.034328117966651917,0.03636475279927254,0.835979700088501,0.4142756760120392,0.04408695176243782,0.0431588850915432
23,0.5544623136520386,0.2516325116157532,0.03069438971579075,0.031303033232688904,0.8205844163894653,0.3552190065383911,0.042696334421634674,0.03901616111397743
24,0.5417787432670593,0.21892507374286652,0.028240550309419632,0.02736506424844265,0.802290678024292,0.31625452637672424,0.03363756462931633,0.03586036339402199
25,0.5308000445365906,0.19202086329460144,0.026994924992322922,0.02371671237051487,0.7850325703620911,0.2785487473011017,0.03429289162158966,0.03021196834743023
26,0.5211225748062134,0.1678467094898224,0.023144977167248726,0.020473193377256393,0.7709617018699646,0.23929989337921143,0.03040923923254013,0.025988057255744934
27,0.5126519203186035,0.1469656527042389,0.02189207635819912,0.01845393516123295,0.7623741030693054,0.2052331417798996,0.029320018365979195,0.022904779762029648
28,0.5048250555992126,0.12587270140647888,0.020934833213686943,0.01677454635500908,0.7513073682785034,0.18223930895328522,0.025199659168720245,0.020435050129890442
29,0.4980069100856781,0.10990727692842484,0.019809940829873085,0.01586005836725235,0.7406938672065735,0.15509271621704102,0.026587236672639847,0.019429750740528107
30,0.4902247488498688,0.09487218409776688,0.019249698147177696,0.015581456944346428,0.7290890216827393,0.1334628462791443,0.024004831910133362,0.018292630091309547
31,0.48302143812179565,0.08288992196321487,0.01780259795486927,0.015065263025462627,0.717970609664917,0.11821459978818893,0.022128889337182045,0.017014097422361374
32,0.47584789991378784,0.07291178405284882,0.01690889708697796,0.014622263610363007,0.7067348957061768,0.10193606466054916,0.02249918133020401,0.017891770228743553
33,0.46868157386779785,0.06477388739585876,0.016544640064239502,0.014162315987050533,0.6950325965881348,0.09098267555236816,0.020205598324537277,0.017002111300826073
34,0.4619854986667633,0.06003906950354576,0.015826407819986343,0.01369466446340084,0.6904372572898865,0.07486750185489655,0.018817748874425888,0.016294166445732117
35,0.4537672698497772,0.05131459981203079,0.015469341538846493,0.013709897175431252,0.6759976148605347,0.07347317039966583,0.017818694934248924,0.01712569035589695
36,0.44616231322288513,0.04665727913379669,0.014928181655704975,0.013245142064988613,0.6648586392402649,0.06214836612343788,0.01835334487259388,0.01692761667072773
37,0.43721437454223633,0.04247410222887993,0.014015608467161655,0.013047195971012115,0.6571022272109985,0.05618530139327049,0.018480656668543816,0.01701533980667591
38,0.4294833242893219,0.038621727377176285,0.013753210194408894,0.012968439608812332,0.6428909301757812,0.050730686634778976,0.016909820958971977,0.015788612887263298
39,0.4207504093647003,0.03591153398156166,0.013358433730900288,0.012353039346635342,0.6326612234115601,0.04705120623111725,0.017047379165887833,0.013754565268754959
40,0.41270798444747925,0.033545441925525665,0.01318212877959013,0.01219557411968708,0.623291552066803,0.04246024042367935,0.016846824437379837,0.01461008284240961
41,0.4039980471134186,0.0314641073346138,0.012790331616997719,0.011999949812889099,0.609403133392334,0.0392516665160656,0.016053810715675354,0.01577966846525669
42,0.3955483138561249,0.029635732993483543,0.012546195648610592,0.011979172937572002,0.5964646339416504,0.0368032269179821,0.01871331036090851,0.014419104903936386
43,0.3869466483592987,0.028118932619690895,0.012576817534863949,0.011631994508206844,0.5851478576660156,0.034224968403577805,0.014218120835721493,0.013629577122628689
44,0.37837088108062744,0.026953738182783127,0.012556779198348522,0.01184300146996975,0.5744068026542664,0.03324519470334053,0.013963157311081886,0.015352393500506878
45,0.3697206974029541,0.02562907710671425,0.01232365146279335,0.011739525012671947,0.5605621337890625,0.030187107622623444,0.015009996481239796,0.013380635529756546
46,0.36116987466812134,0.024699075147509575,0.012506856583058834,0.01165949646383524,0.5491989850997925,0.029608750715851784,0.013978464528918266,0.011758781969547272
47,0.35273477435112,0.023811861872673035,0.012118781916797161,0.011511454358696938,0.5317803025245667,0.02822869084775448,0.015109691768884659,0.014621269889175892
48,0.3432813584804535,0.023004936054348946,0.011860162951052189,0.011846555396914482,0.5205325484275818,0.026519551873207092,0.012974951416254044,0.013230476528406143
49,0.33486461639404297,0.022358987480401993,0.011864135041832924,0.011254051700234413,0.5083822011947632,0.026965761557221413,0.013408085331320763,0.013370406813919544
50,0.3268674314022064,0.022092271596193314,0.01188980508595705,0.011481061577796936,0.4989374876022339,0.025242989882826805,0.017646081745624542,0.013261987827718258
51,0.31753236055374146,0.02127198874950409,0.0136688482016325,0.010990244336426258,0.4840738773345947,0.023819316178560257,0.01420761737972498,0.0137234041467309
52,0.3091505765914917,0.020660893991589546,0.012147928588092327,0.011083587072789669,0.4719502925872803,0.023628899827599525,0.013288178481161594,0.014326333068311214
53,0.30169832706451416,0.020069288089871407,0.011710151098668575,0.011224820278584957,0.4549869894981384,0.02249830774962902,0.013536293059587479,0.013388941064476967
54,0.2929475009441376,0.019704783335328102,0.012304841540753841,0.011124004609882832,0.4443601965904236,0.022086404263973236,0.01293445099145174,0.011834139935672283
55,0.2848148047924042,0.01929953694343567,0.012467499822378159,0.010933381505310535,0.43353939056396484,0.021735087037086487,0.012447028420865536,0.011174879036843777
56,0.27690595388412476,0.018980760127305984,0.011357192881405354,0.011313451454043388,0.42234814167022705,0.020426297560334206,0.014898103661835194,0.011519944295287132
57,0.26951655745506287,0.01860596239566803,0.011381460353732109,0.011210665106773376,0.4104200005531311,0.020218560472130775,0.012929704040288925,0.011368636041879654
58,0.2617771029472351,0.018411146476864815,0.011768910102546215,0.011198405176401138,0.39775919914245605,0.01992499828338623,0.011339413933455944,0.013196655549108982
59,0.2541351020336151,0.017589718103408813,0.011166716925799847,0.010714066214859486,0.38540977239608765,0.01963842287659645,0.013440587557852268,0.011830911971628666
60,0.24714361131191254,0.017445378005504608,0.010909350588917732,0.010533028282225132,0.3721809387207031,0.019814377650618553,0.01304581854492426,0.014968698844313622
61,0.24029134213924408,0.01705801673233509,0.010432028211653233,0.010863457806408405,0.3626364469528198,0.018892906606197357,0.01414506882429123,0.010656595230102539
62,0.23383855819702148,0.016727283596992493,0.01120464876294136,0.010480162687599659,0.34978413581848145,0.018802203238010406,0.011288369074463844,0.012785486876964569
63,0.22692731022834778,0.016514377668499947,0.012812365777790546,0.011051858775317669,0.3412680923938751,0.018257055431604385,0.012817179784178734,0.010864708572626114
64,0.22098229825496674,0.016183193773031235,0.011521934531629086,0.010888040997087955,0.3302811086177826,0.01736726053059101,0.010743881575763226,0.009733876213431358
65,0.21478596329689026,0.01600019447505474,0.01139136217534542,0.010820328257977962,0.3194817900657654,0.018353570252656937,0.018658524379134178,0.010210352018475533
