#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419823    0.419823           0
           2    0.432455    0.426139  0.00446615
           3    0.438194    0.430157  0.00443051
           4    0.445038    0.433877  0.00462831
           5    0.428465    0.432795  0.00382713
           6    0.426881    0.431809  0.00331375
           7    0.439548    0.432915  0.00301915
           8    0.432578    0.432873  0.00264205
           9    0.450837    0.434869  0.00300949
          10    0.440497    0.435432  0.00276066
          11    0.426469    0.434617  0.00262718
          12    0.453363    0.436179  0.00283492
          13    0.437885     0.43631  0.00261988
          14    0.440493    0.436609  0.00244972
          15    0.434492    0.436468  0.00229047
          16    0.441926    0.436809  0.00217257
          17    0.447015    0.437409   0.0021261
          18    0.445349     0.43785  0.00205322
          19    0.445012    0.438227  0.00197946
          20    0.428628    0.437747   0.0019378
