#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     166.667     166.667           0
           2     166.665     166.666 0.000692965
           3     166.615     166.649   0.0137412
           4     166.666     166.653   0.0109542
           5      166.37     166.597   0.0513974
           6     166.666     166.608   0.0441165
           7     166.663     166.616   0.0385167
           8     163.436     166.218     0.37338
           9     166.667     166.268    0.335198
          10     166.665     166.308    0.304021
          11     166.667     166.341    0.278126
          12      166.66     166.367    0.256221
          13     166.656     166.389    0.237471
          14     166.665     166.409    0.221325
          15     166.631     166.424    0.207063
          16     165.593     166.372    0.200521
          17     166.666     166.389     0.18947
          18     166.664     166.405    0.179558
          19     166.667     166.418    0.170637
          20     166.277     166.411     0.16225
