#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.54199     0.54199           0
           2    0.476418    0.509204   0.0231832
           3    0.466148    0.494852   0.0193957
           4    0.343826    0.457096   0.0357879
           5    0.415668     0.44881   0.0295739
           6    0.407572    0.441937    0.025431
           7    0.550116    0.457391   0.0260742
           8     0.48419    0.460741   0.0230291
           9    0.453512    0.459938   0.0204843
          10    0.450238    0.458968   0.0184589
          11    0.484616    0.461299   0.0169274
          12    0.441454    0.459646   0.0155974
          13    0.469996    0.460442   0.0144179
          14    0.504216    0.463569   0.0137229
          15     0.39792    0.459192   0.0134879
          16     0.41966    0.456721   0.0128692
          17    0.414656    0.454247   0.0123478
          18    0.447938    0.453896   0.0116668
          19     0.48703     0.45564   0.0111823
          20     0.48495    0.457106   0.0107188
