#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.185261    0.185261           0
           2    0.179591    0.182426  0.00200463
           3    0.185801    0.183551  0.00162167
           4    0.182323    0.183244  0.00124496
           5    0.184576     0.18351  0.00102405
           6    0.185057    0.183768 0.000885237
           7     0.18065    0.183323 0.000863615
           8    0.178628    0.182736 0.000934019
           9    0.182599    0.182721 0.000830363
          10    0.181078    0.182556   0.0007634
          11    0.183271    0.182621 0.000696759
          12    0.181174    0.182501  0.00064905
          13    0.188447    0.182958 0.000743025
          14     0.18478    0.183088 0.000701258
          15     0.17746    0.182713 0.000748186
          16    0.179063    0.182485 0.000735376
          17    0.181001    0.182398 0.000697279
          18    0.182361    0.182396 0.000658545
          19    0.180778    0.182311 0.000629367
          20    0.183079    0.182349  0.00059907
