#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.362942    0.362942           0
           2    0.373757    0.368349  0.00382364
           3    0.372083    0.369594  0.00274414
           4    0.358637    0.366855  0.00314048
           5     0.37239    0.367962   0.0027005
           6    0.375546    0.369226  0.00252897
           7    0.369933    0.369327  0.00216971
           8     0.37505    0.370042  0.00201297
           9     0.36883    0.369907  0.00179381
          10    0.357071    0.368624  0.00202223
          11    0.373631    0.369079  0.00188894
          12    0.371726      0.3693  0.00174436
          13    0.360589     0.36863  0.00173411
          14    0.377652    0.369274  0.00172584
          15    0.372708    0.369503   0.0016259
          16    0.376394    0.369934   0.0015803
          17    0.369366      0.3699   0.0014877
          18    0.374427    0.370152  0.00142615
          19    0.367102    0.369991  0.00136009
          20    0.369476    0.369965  0.00129233
