#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211693    0.211693           0
           2    0.209267     0.21048 0.000857509
           3    0.217228    0.212729  0.00192354
           4    0.215754    0.213486  0.00158436
           5    0.209012    0.212591  0.00149895
           6    0.216365     0.21322  0.00137476
           7    0.206936    0.212322  0.00144196
           8    0.215419    0.212709  0.00131266
           9     0.21587    0.213061  0.00121289
          10    0.211173    0.212872  0.00110619
          11    0.211426     0.21274  0.00101341
          12    0.216983    0.213094 0.000988709
          13    0.216398    0.213348 0.000944752
          14    0.212957     0.21332 0.000877683
          15     0.21463    0.213407 0.000823504
          16    0.215365     0.21353 0.000781073
          17    0.208673    0.213244 0.000785647
          18    0.213601    0.213264  0.00074225
          19     0.21224     0.21321 0.000705138
          20    0.213543    0.213227 0.000670077
