#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.901581    0.901581           0
           2    0.901021    0.901301  0.00019799
           3    0.880773    0.894458  0.00558857
           4    0.908579    0.897988  0.00518798
           5    0.903955    0.899182  0.00428544
           6    0.869578    0.894248   0.0057481
           7    0.890006    0.893642  0.00495877
           8    0.902003    0.894687  0.00444771
           9    0.895149    0.894738  0.00395382
          10    0.885843    0.893849  0.00365712
          11    0.856224    0.890428  0.00465716
          12    0.886038    0.890063  0.00428341
          13    0.882939    0.889515  0.00398881
          14    0.913168    0.891204  0.00404592
          15    0.901714    0.891905  0.00383638
          16    0.899208    0.892361  0.00362365
          17    0.893501    0.892428  0.00341112
          18    0.868538    0.891101  0.00347023
          19    0.849435    0.888908  0.00391971
          20    0.894192    0.889172  0.00373262
