#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.456064    0.456064           0
           2    0.443412    0.449738  0.00447344
           3    0.434597    0.444691  0.00508685
           4    0.438438    0.443128   0.0040482
           5    0.436798    0.441862  0.00343079
           6    0.410638    0.436658  0.00554449
           7    0.445068    0.437859  0.00488087
           8    0.450608    0.439453  0.00452344
           9    0.400733    0.435151  0.00571134
          10    0.425452    0.434181  0.00522191
          11    0.436109    0.434356  0.00475013
          12    0.432038    0.434163  0.00435821
          13    0.443546    0.434885  0.00408229
          14    0.436957    0.435033  0.00379338
          15    0.450027    0.436032  0.00366983
          16    0.431265    0.435734  0.00345254
          17     0.44288    0.436155  0.00327494
          18    0.431672    0.435906  0.00310245
          19    0.430527    0.435623  0.00295205
          20    0.394448    0.433564  0.00344838
