#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.392629    0.392629           0
           2    0.396608    0.394618   0.0014071
           3    0.395441    0.394893 0.000964439
           4    0.400399    0.396269  0.00139435
           5    0.399843    0.396984  0.00128565
           6    0.405136    0.398343  0.00163899
           7    0.394169    0.397746  0.00150941
           8    0.400412     0.39808  0.00135701
           9    0.387457    0.396899  0.00164116
          10    0.405211     0.39773  0.00167434
          11    0.404519    0.398348  0.00163191
          12    0.395629    0.398121  0.00151156
          13     0.39089    0.397565  0.00149412
          14    0.389657       0.397  0.00149035
          15    0.392038    0.396669  0.00142722
          16    0.403567      0.3971  0.00140161
          17     0.39172    0.396784  0.00135443
          18    0.390621    0.396441  0.00132175
          19    0.390976    0.396154   0.0012831
          20    0.383892    0.395541  0.00135754
