#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.87336     2.87336           0
           2     2.97351     2.92343   0.0354099
           3     3.11756     2.98814   0.0578683
           4     2.98721     2.98791   0.0434017
           5     3.00696     2.99172   0.0348882
           6     2.86234     2.97016   0.0351103
           7     2.94539     2.96662   0.0302722
           8     3.01741     2.97297   0.0271458
           9     3.04744     2.98124   0.0253595
          10     2.90763     2.97388   0.0238682
          11     3.06871      2.9825   0.0232032
          12     3.07867     2.99052   0.0226111
          13     2.99856     2.99114   0.0208802
          14     2.98886     2.99097   0.0193894
          15     2.89011     2.98425   0.0192274
          16     3.00549     2.98558   0.0180715
          17     3.00147     2.98651   0.0170326
          18      3.1305     2.99451   0.0178664
          19     2.99632     2.99461   0.0169264
          20     3.00312     2.99503   0.0160854
