#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.296813    0.296813           0
           2    0.297295    0.297054 0.000170633
           3    0.289833    0.294647  0.00196861
           4    0.291069    0.293752  0.00166739
           5    0.297497    0.294501  0.00149268
           6    0.301512     0.29567   0.0016386
           7    0.290781    0.294971   0.0015462
           8    0.292539    0.294667  0.00138249
           9    0.297977    0.295035  0.00127685
          10    0.295642    0.295096  0.00115061
          11    0.289019    0.294543  0.00117116
          12    0.295168    0.294595  0.00107472
          13    0.295383    0.294656 0.000993751
          14    0.288052    0.294184  0.00102865
          15    0.283887    0.293498  0.00116686
          16     0.29563    0.293631  0.00110152
          17    0.290614    0.293454  0.00105092
          18    0.290141     0.29327  0.00100852
          19    0.298414     0.29354 0.000991121
          20     0.29237    0.293482 0.000943291
