#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.121899    0.121899           0
           2    0.119488    0.120694 0.000852203
           3    0.119121    0.120169 0.000711332
           4    0.120411     0.12023 0.000536059
           5    0.119538    0.120091 0.000446344
           6    0.121886     0.12039 0.000461417
           7    0.123175    0.120788 0.000540409
           8    0.120686    0.120775  0.00047301
           9    0.119382    0.120621 0.000445059
          10    0.119784    0.120537  0.00040835
          11     0.12037    0.120522 0.000371508
          12    0.121099     0.12057 0.000343649
          13    0.118732    0.120429 0.000345061
          14    0.120433    0.120429 0.000320414
          15    0.118768    0.120318 0.000317607
          16    0.116969    0.120109 0.000360189
          17    0.120204    0.120114 0.000339046
          18    0.121057    0.120167 0.000324231
          19    0.119727    0.120144 0.000307991
          20    0.120171    0.120145 0.000292595
