#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.35116     7.35116           0
           2     7.86898     7.61007    0.183077
           3     7.56766     7.59593    0.122596
           4     7.22336     7.50279    0.122315
           5     6.83504     7.36924    0.154413
           6     7.15941     7.33427    0.132578
           7       7.915     7.41723    0.137161
           8     7.41563     7.41703    0.120016
           9     6.61679     7.32812    0.135677
          10     6.95278     7.29058    0.127195
          11     7.13963     7.27686     0.11637
          12     7.11314     7.26322    0.107469
          13     8.26951     7.34062    0.123984
          14     7.57667     7.35748    0.116269
          15     7.62612     7.37539    0.109888
          16     7.04523     7.35476     0.10494
          17     7.05102     7.33689    0.100276
          18     7.25206     7.33218   0.0948161
          19     7.69722     7.35139   0.0917516
          20     7.44982     7.35631    0.087296
