#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.230912    0.230912           0
           2    0.229815    0.230363 0.000388027
           3    0.230533     0.23042 0.000262776
           4    0.228621     0.22997 0.000436473
           5    0.230584    0.230093  0.00036601
           6    0.229219    0.229947 0.000332726
           7    0.229548     0.22989 0.000290034
           8    0.231084     0.23004 0.000289645
           9    0.225797    0.229568 0.000513657
          10    0.228958    0.229507 0.000465897
          11    0.228152    0.229384  0.00043954
          12     0.23014    0.229447 0.000407402
          13    0.235102    0.229882 0.000562208
          14    0.230495    0.229926 0.000523754
          15    0.225156    0.229608 0.000577364
          16    0.225231    0.229334 0.000602604
          17    0.228681    0.229296  0.00056838
          18    0.228494    0.229251 0.000538547
          19    0.225968    0.229078 0.000537211
          20    0.230288    0.229139 0.000513744
