#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.49263     1.49263           0
           2      1.4516     1.47211   0.0145061
           3     1.58698      1.5104   0.0327232
           4     1.49345     1.50616   0.0248153
           5     1.48646     1.50222   0.0201628
           6     1.53569      1.5078   0.0175569
           7     1.46135     1.50116   0.0162544
           8     1.52211     1.50378    0.014432
           9     1.49872     1.50322   0.0128394
          10      1.4874     1.50164   0.0116524
          11     1.51999     1.50331   0.0107119
          12     1.49669     1.50276  0.00983344
          13     1.51223     1.50349    0.009104
          14     1.45765     1.50021  0.00902332
          15     1.49867     1.50011  0.00842235
          16     1.56585     1.50422   0.0088416
          17     1.53536     1.50605  0.00850919
          18     1.51449     1.50652  0.00804938
          19     1.52781     1.50764  0.00770334
          20      1.5563     1.51007   0.0076928
