#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.781502    0.781502           0
           2    0.774327    0.777915  0.00253668
           3    0.739865    0.765232    0.010493
           4    0.782116    0.769453  0.00867728
           5    0.794587    0.774479  0.00827067
           6    0.805059    0.779576   0.0083156
           7    0.784157     0.78023  0.00715336
           8     0.77219    0.779225  0.00632941
           9    0.778465    0.779141  0.00562671
          10    0.788739    0.780101  0.00514525
          11    0.772461    0.779406  0.00472415
          12    0.775299    0.779064  0.00434285
          13    0.776339    0.778854  0.00401384
          14    0.784385    0.779249  0.00374653
          15    0.799584    0.780605  0.00373397
          16    0.773108    0.780136  0.00352987
          17    0.793018    0.780894  0.00340258
          18    0.787287    0.781249  0.00323204
          19    0.782013     0.78129  0.00306218
          20    0.785074    0.781479  0.00291491
