#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.015824    0.015824           0
           2    0.012882    0.014353  0.00104015
           3    0.017342   0.0153493  0.00106894
           4    0.019438   0.0163715   0.0011943
           5    0.014346   0.0159664  0.00102184
           6    0.012356   0.0153647  0.00101333
           7    0.008704   0.0144131  0.00123712
           8    0.011032   0.0139905  0.00115242
           9    0.013524   0.0139387  0.00102554
          10    0.010696   0.0136144 0.000972897
          11     0.01734   0.0139531 0.000941562
          12    0.011446   0.0137442 0.000885974
          13    0.013136   0.0136974 0.000819057
          14     0.01905   0.0140797 0.000845089
          15    0.016996   0.0142741 0.000810805
          16    0.013208   0.0142075 0.000762863
          17    0.011372   0.0140407 0.000735997
          18     0.02158   0.0144596 0.000805521
          19    0.019152   0.0147065  0.00080009
          20    0.016338   0.0147881 0.000764233
