#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68587     1.68587           0
           2     1.69858     1.69223  0.00449327
           3     1.67307     1.68584  0.00601252
           4     1.64583     1.67584  0.00976665
           5     1.70766      1.6822  0.00966763
           6     1.67863     1.68161  0.00807468
           7     1.68274     1.68177  0.00692277
           8      1.6804      1.6816  0.00605952
           9     1.68627     1.68212  0.00540846
          10     1.66718     1.68062  0.00506964
          11     1.66991     1.67965  0.00470141
          12     1.71812     1.68286  0.00529103
          13     1.70152     1.68429  0.00507499
          14     1.67754     1.68381  0.00473538
          15      1.6825     1.68372  0.00442049
          16     1.63879     1.68091  0.00495661
          17     1.63925     1.67846  0.00523608
          18     1.69148     1.67919  0.00499492
          19     1.68745     1.67962  0.00475093
          20     1.63162     1.67722  0.00508363
