#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.023048    0.023048           0
           2    0.015088    0.019068  0.00281428
           3    0.020406    0.019514   0.0019112
           4    0.019988   0.0196325  0.00143707
           5    0.016594   0.0190248  0.00127167
           6    0.022272    0.019566  0.00116923
           7    0.018538   0.0194191  0.00101138
           8    0.017302   0.0191545 0.000918929
           9    0.018756   0.0191102 0.000817892
          10    0.017714   0.0189706 0.000747925
          11    0.012248   0.0183595 0.000895462
          12     0.01677    0.018227 0.000830578
          13     0.01929   0.0183088 0.000770702
          14    0.019742   0.0184111 0.000722419
          15    0.021904    0.018644 0.000710796
          16    0.022142   0.0188626 0.000699186
          17    0.020322   0.0189485 0.000663306
          18    0.018082   0.0189003   0.0006282
          19    0.019126   0.0189122 0.000595249
          20    0.023398   0.0191365 0.000606272
