#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1           1           1           0
           2    0.999988    0.999994 4.24264e-06
           3    0.999998    0.999995 3.03072e-06
           4           1    0.999996 2.48747e-06
           5    0.999964     0.99999 6.14492e-06
           6    0.999994    0.999991  5.1568e-06
           7           1    0.999992 4.58925e-06
           8    0.999472    0.999927 6.09344e-05
           9           1    0.999935 5.47011e-05
          10    0.999996    0.999941 4.95687e-05
          11           1    0.999947 4.53498e-05
          12     0.99999     0.99995 4.17149e-05
          13    0.999972    0.999952 3.85399e-05
          14    0.999996    0.999955 3.59159e-05
          15     0.99993    0.999953 3.35601e-05
          16    0.998522    0.999864 9.21548e-05
          17           1    0.999872 8.70812e-05
          18           1    0.999879 8.25337e-05
          19     0.99998    0.999884 7.83608e-05
          20    0.999998     0.99989 7.46486e-05
