#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.65074     5.65074           0
           2     5.29138     5.47106    0.127054
           3     5.56173     5.50128   0.0882244
           4     5.57244     5.51907   0.0679383
           5     5.34029     5.48332   0.0630623
           6     5.64207     5.50978    0.057837
           7     5.83204     5.55581   0.0653787
           8     5.89458     5.59816   0.0695814
           9     5.47407     5.58437   0.0632014
          10     5.45046     5.57098   0.0582826
          11     5.66751     5.57976   0.0536408
          12     5.58387      5.5801   0.0491718
          13     5.72319     5.59111   0.0466051
          14      5.7457     5.60215   0.0445652
          15     5.50801     5.59587   0.0420337
          16     5.76997     5.60675   0.0407906
          17     5.27723     5.58737   0.0427495
          18     5.38526     5.57614   0.0418232
          19     5.55312     5.57493   0.0396395
          20     5.42095     5.56723   0.0383979
