#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.14681     0.14681           0
           2    0.145563    0.146187 0.000440998
           3     0.14702    0.146464 0.000371284
           4    0.144531    0.145981 0.000502792
           5    0.145135    0.145812 0.000429793
           6    0.143791    0.145475 0.000472039
           7    0.145878    0.145533 0.000408102
           8    0.144529    0.145407 0.000375859
           9    0.144951    0.145356   0.0003375
          10    0.147321    0.145553 0.000356366
          11     0.14537    0.145536 0.000324359
          12    0.146386    0.145607 0.000304952
          13    0.146875    0.145705 0.000296688
          14    0.145403    0.145683 0.000276275
          15    0.146788    0.145757 0.000267502
          16     0.14831    0.145916 0.000294555
          17    0.147716    0.146022 0.000295647
          18    0.143782    0.145898 0.000304289
          19    0.149023    0.146062 0.000329752
          20    0.144438    0.145981 0.000323108
