#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.320545    0.320545           0
           2    0.385313    0.352929    0.022899
           3    0.319526    0.341795   0.0177679
           4    0.315846    0.335308   0.0144618
           5     0.30823    0.329892   0.0125425
           6    0.381383    0.338474   0.0130621
           7    0.331423    0.337467   0.0112348
           8     0.28576    0.331003   0.0115408
           9    0.373437    0.335718   0.0111802
          10    0.366369    0.338783   0.0104739
          11    0.342285    0.339102  0.00952658
          12     0.28941    0.334961  0.00959054
          13    0.313172    0.333285  0.00899807
          14    0.318828    0.332252  0.00841439
          15    0.371685    0.334881   0.0082539
          16    0.356356    0.336223   0.0078464
          17    0.243023    0.330741  0.00910077
          18    0.320972    0.330198  0.00861134
          19    0.309202    0.329093  0.00822871
          20    0.354688    0.330373  0.00791616
