#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.408928   -0.408928           0
           2   -0.409964   -0.409446 0.000366281
           3   -0.408672   -0.409188 0.000322496
           4    -0.40994   -0.409376 0.000291565
           5   -0.408764   -0.409254 0.000257666
           6    -0.41036   -0.409438  0.00027284
           7   -0.408912   -0.409363 0.000243991
           8   -0.409952   -0.409436 0.000224331
           9   -0.412156   -0.409739 0.000347739
          10   -0.408468   -0.409612 0.000335378
          11    -0.40942   -0.409594 0.000305341
          12   -0.410428   -0.409664 0.000287693
          13    -0.41094   -0.409762 0.000281818
          14   -0.408412   -0.409665 0.000277692
          15    -0.41062   -0.409729 0.000266372
          16   -0.409884   -0.409739 0.000249899
          17   -0.409128   -0.409703 0.000237768
          18   -0.409372   -0.409684 0.000225268
          19   -0.407772   -0.409584 0.000234825
          20    -0.40896   -0.409553 0.000225145
