#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.98294     0.98294           0
           2    0.999226    0.991083  0.00575797
           3     0.99668    0.992949  0.00412985
           4     0.99591    0.993689  0.00316305
           5    0.987558    0.992463   0.0027579
           6    0.991626    0.992323  0.00230177
           7    0.995524    0.992781  0.00201785
           8    0.979556    0.991127  0.00234701
           9    0.988366    0.990821  0.00210619
          10     0.99928    0.991667  0.00205846
          11    0.995426    0.992008  0.00189948
          12     0.99972    0.992651  0.00184671
          13    0.997438    0.993019  0.00174098
          14    0.993594     0.99306  0.00161711
          15    0.997904    0.993383   0.0015412
          16    0.996846      0.9936  0.00145999
          17    0.985844    0.993143  0.00144363
          18    0.998606    0.993447  0.00139496
          19    0.999308    0.993755  0.00135522
          20     0.99682    0.993909   0.0012961
