#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.127033    0.127033           0
           2    0.129229    0.128131 0.000776254
           3    0.125554    0.127272 0.000871673
           4     0.13008    0.127974 0.000892787
           5    0.128951     0.12817 0.000735308
           6    0.128125    0.128162 0.000612795
           7    0.130196    0.128453 0.000590157
           8    0.127227      0.1283 0.000535909
           9    0.126693    0.128121 0.000505234
          10    0.128805    0.128189 0.000459318
          11     0.12485    0.127886 0.000508089
          12    0.127076    0.127818 0.000470207
          13    0.127331    0.127781 0.000435527
          14    0.126732    0.127706 0.000410809
          15    0.125153    0.127536 0.000417182
          16    0.127636    0.127542 0.000391155
          17    0.127062    0.127514 0.000369166
          18    0.128987    0.127596 0.000357609
          19    0.129534    0.127698  0.00035304
          20    0.129048    0.127765 0.000341784
