#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.11906     1.11906           0
           2     1.14232     1.13069  0.00822494
           3     1.12732     1.12957  0.00555931
           4     1.08912     1.11945  0.00969951
           5     1.11263     1.11809  0.00785505
           6     1.13709     1.12126   0.0071559
           7      1.1492     1.12525  0.00716121
           8     1.12465     1.12517  0.00626645
           9     1.11476     1.12402  0.00567599
          10     1.12653     1.12427  0.00511393
          11     1.12017      1.1239  0.00466256
          12      1.1374     1.12502  0.00440781
          13     1.16169     1.12784  0.00488878
          14     1.14541      1.1291   0.0046978
          15     1.12791     1.12902  0.00438528
          16     1.12488     1.12876  0.00411881
          17     1.13839     1.12933  0.00391527
          18     1.15421     1.13071  0.00393426
          19     1.14458     1.13144  0.00379437
          20     1.12539     1.13114  0.00361667
