#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.171361    0.171361           0
           2    0.170391    0.170876 0.000343105
           3    0.171196    0.170983 0.000244772
           4    0.168175    0.170281  0.00063495
           5    0.168082    0.169841 0.000642465
           6    0.169809    0.169836 0.000535409
           7    0.169349    0.169766 0.000463422
           8    0.166485    0.169356 0.000558211
           9    0.168289    0.169238 0.000508617
          10     0.16833    0.169147 0.000465778
          11    0.172922     0.16949  0.00053515
          12    0.167092     0.16929 0.000526555
          13    0.169933     0.16934 0.000488367
          14    0.170157    0.169398 0.000456957
          15     0.16994    0.169434 0.000427922
          16    0.169302    0.169426 0.000401257
          17    0.171454    0.169545 0.000394983
          18    0.169503    0.169543 0.000373047
          19    0.168319    0.169478 0.000358931
          20    0.168804    0.169445 0.000342565
