#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.307332    0.307332           0
           2    0.274092    0.290712   0.0117521
           3     0.28372    0.288381  0.00806254
           4     0.25565    0.280199   0.0093158
           5    0.316108     0.28738  0.00983898
           6    0.309688    0.291098  0.00887385
           7     0.27234    0.288419  0.00800056
           8     0.31547      0.2918   0.0076819
           9    0.369166    0.300396   0.0105977
          10    0.289534     0.29931  0.00959342
          11    0.321686    0.301344  0.00893435
          12    0.282762    0.299796  0.00832294
          13    0.316992    0.301118  0.00778712
          14    0.276126    0.299333  0.00743271
          15    0.285466    0.298409  0.00699445
          16    0.325102    0.300077  0.00675333
          17    0.301028    0.300133  0.00635631
          18    0.279222    0.298971  0.00610842
          19    0.255186    0.296667  0.00620642
          20    0.346954    0.299181  0.00638513
