#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.608886    0.608886           0
           2    0.728428    0.668657   0.0422645
           3     0.75845    0.698588   0.0372981
           4    0.789176    0.721235   0.0341641
           5    0.709704    0.718929    0.027409
           6    0.746078    0.723454   0.0232113
           7    0.566238    0.700994   0.0287783
           8    0.689058    0.699502   0.0252197
           9     0.58995     0.68733   0.0251843
          10    0.704078    0.689005   0.0227215
          11    0.469178     0.66902   0.0281021
          12    0.662582    0.668484   0.0257654
          13    0.801052    0.678681   0.0257224
          14    0.760414    0.684519   0.0245387
          15    0.546288    0.675304   0.0245723
          16    0.728376    0.678621   0.0232594
          17     0.46258    0.665913   0.0251242
          18    0.712912    0.668524   0.0238637
          19    0.581732    0.663956   0.0230407
          20    0.646276    0.663072   0.0219057
