#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.38231     1.38231           0
           2      1.3894     1.38586  0.00250457
           3     1.36296     1.37822   0.0064508
           4     1.35016     1.37121  0.00776638
           5     1.35767      1.3685  0.00666836
           6     1.38101     1.37059   0.0058736
           7     1.37909      1.3718  0.00515868
           8     1.35512     1.36972  0.00491704
           9     1.33937     1.36635  0.00540429
          10     1.37713     1.36742  0.00497035
          11     1.36065     1.36681  0.00455653
          12     1.35934     1.36619  0.00421912
          13     1.33622     1.36388  0.00448034
          14     1.36758     1.36414  0.00416811
          15     1.36597     1.36427  0.00389201
          16     1.37004     1.36463  0.00366547
          17     1.33822     1.36307  0.00376458
          18      1.3609     1.36295  0.00355738
          19     1.33022     1.36123  0.00376417
          20     1.36011     1.36117  0.00357638
