#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.24099     2.24099           0
           2     2.18964     2.21531   0.0181532
           3     2.11269     2.18111   0.0304389
           4     2.14532     2.17216   0.0241079
           5     2.15259     2.16825   0.0196014
           6     2.16958     2.16847   0.0163358
           7     2.15408     2.16641   0.0141309
           8     2.17098     2.16698   0.0123761
           9     2.16851     2.16715   0.0110021
          10     2.12585     2.16302   0.0106491
          11     2.23887     2.16992   0.0117025
          12     2.17988     2.17075   0.0107567
          13      2.2434     2.17634   0.0112881
          14      2.1242     2.17261   0.0110792
          15     2.28865     2.18035   0.0127587
          16     2.20504     2.18189   0.0120542
          17     2.15233     2.18015   0.0114699
          18     2.07796     2.17448   0.0121569
          19     2.15313     2.17335   0.0115689
          20     2.14684     2.17203   0.0110661
