#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.039986    0.039986           0
           2    0.051882    0.045934  0.00420587
           3    0.064558    0.052142  0.00579265
           4    0.055454     0.05297  0.00440327
           5    0.040952   0.0505664  0.00412682
           6    0.043302   0.0493557  0.00361226
           7     0.05227    0.049772  0.00312012
           8    0.050558   0.0498703  0.00273165
           9     0.04115   0.0489013  0.00259429
          10    0.063098    0.050321  0.00269545
          11    0.038696   0.0492642   0.0026495
          12    0.055758   0.0498053  0.00248336
          13      0.0468   0.0495742  0.00230307
          14    0.040454   0.0489227  0.00222879
          15    0.050108   0.0490017   0.0020816
          16    0.055154   0.0493863   0.0019867
          17    0.051506   0.0495109  0.00187374
          18    0.066226   0.0504396  0.00198647
          19    0.047792   0.0503002   0.0018868
          20    0.049536    0.050262  0.00179285
