#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.022614    0.022614           0
           2    0.020834    0.021724 0.000629325
           3    0.023874   0.0224407 0.000720021
           4    0.021784   0.0222765 0.000558417
           5    0.021282   0.0220776 0.000480853
           6    0.021348    0.021956 0.000415802
           7    0.022596   0.0220474 0.000366316
           8    0.019702   0.0217543 0.000421837
           9    0.023414   0.0219387 0.000413316
          10    0.015016   0.0212464 0.000754773
          11    0.019878    0.021122 0.000696334
          12     0.01808   0.0208685 0.000682892
          13    0.017942   0.0206434 0.000666434
          14    0.029596   0.0212829 0.000873309
          15    0.022476   0.0213624 0.000818703
          16    0.016638   0.0210671 0.000819052
          17    0.021496   0.0210924 0.000771261
          18    0.025032   0.0213112 0.000758834
          19     0.02831   0.0216796  0.00080334
          20    0.015066   0.0213489 0.000828441
