#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.155867    0.155867           0
           2    0.028191    0.092029   0.0451403
           3    0.169302    0.117787   0.0367141
           4   0.0890382      0.1106   0.0282303
           5    0.163944    0.121268   0.0245175
           6    0.165383    0.128621   0.0215054
           7    0.188651    0.137197   0.0200704
           8   0.0414054    0.125223   0.0208294
           9    0.184069    0.131761   0.0195143
          10   0.0898008    0.127565   0.0180083
          11    0.123982    0.127239   0.0163742
          12  0.00836472    0.117333   0.0177551
          13   0.0514061    0.112262   0.0170983
          14    0.200437     0.11856   0.0169974
          15   0.0319848    0.112788   0.0168157
          16   0.0643955    0.109764   0.0160344
          17   0.0152814    0.104206   0.0160255
          18     0.15184    0.106852   0.0153521
          19   0.0148875    0.102012   0.0152881
          20    0.141634    0.103993   0.0146515
