#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.348596    0.348596           0
           2     0.34243    0.345513  0.00217998
           3    0.342919    0.344649  0.00161568
           4    0.344183    0.344532  0.00121595
           5    0.345778    0.344781 0.000997967
           6    0.338635    0.343757   0.0012514
           7    0.354511    0.345293   0.0017814
           8    0.343927    0.345122  0.00156689
           9     0.34207    0.344783  0.00142903
          10    0.343686    0.344674  0.00129033
          11    0.343296    0.344548  0.00117909
          12    0.347511    0.344795  0.00110638
          13    0.345945    0.344884  0.00102481
          14    0.352211    0.345407  0.00107701
          15    0.346978    0.345512  0.00101029
          16    0.339899    0.345161   0.0010062
          17    0.344605    0.345128  0.00094754
          18    0.340943    0.344896 0.000922984
          19    0.342163    0.344752  0.00088554
          20    0.338467    0.344438 0.000895285
