#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196762    0.196762           0
           2    0.195608    0.196185 0.000408086
           3    0.194369     0.19558 0.000564266
           4    0.197208    0.195987 0.000550872
           5    0.199528    0.196695 0.000771681
           6    0.193792    0.196211 0.000780159
           7     0.19728    0.196364 0.000683481
           8    0.194303    0.196106 0.000644747
           9    0.195373    0.196025 0.000578232
          10    0.194255    0.195848 0.000546821
          11    0.198133    0.196056 0.000535116
          12    0.199174    0.196315 0.000550026
          13    0.196005    0.196292 0.000508236
          14    0.198318    0.196436 0.000492113
          15    0.195756    0.196391 0.000461392
          16    0.197803    0.196479 0.000440912
          17    0.193193    0.196286 0.000455372
          18    0.194588    0.196192  0.00043973
          19    0.196321    0.196198 0.000416639
          20    0.195031     0.19614 0.000399876
