#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.57324     3.57324           0
           2     3.54262     3.55793   0.0108285
           3      3.4829     3.53292   0.0216577
           4     3.45126     3.51251   0.0240092
           5     3.54793     3.51959   0.0202258
           6     3.49353     3.51525   0.0173151
           7     3.49513     3.51237   0.0150781
           8     3.45555     3.50527   0.0147717
           9     3.69549     3.52641    0.023864
          10     3.66973     3.54074   0.0254198
          11     3.60449     3.54653   0.0237605
          12     3.66359     3.55629   0.0236983
          13     3.57085     3.55741   0.0219018
          14     3.50302     3.55352   0.0206791
          15     3.63361     3.55886   0.0199779
          16     3.59158     3.56091   0.0188336
          17     3.55144     3.56035    0.017734
          18     3.55889     3.56027   0.0167489
          19     3.52996     3.55868   0.0159432
          20      3.6975     3.56562   0.0165883
