#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.112495    0.112495           0
           2    0.111839    0.112167 0.000232004
           3    0.112372    0.112235 0.000164362
           4    0.112312    0.112255 0.000124387
           5    0.112297    0.112263  9.9797e-05
           6    0.111607    0.112154 0.000129889
           7    0.110958    0.111983 0.000193396
           8    0.112093    0.111997 0.000169712
           9    0.113764    0.112193 0.000238844
          10     0.11226      0.1122 0.000215054
          11     0.11311    0.112283 0.000210825
          12    0.112559    0.112306 0.000194513
          13    0.112769    0.112341 0.000182788
          14    0.112142    0.112327 0.000170283
          15    0.113076    0.112377 0.000166088
          16    0.113084    0.112421 0.000161486
          17    0.113452    0.112482 0.000162963
          18    0.114429     0.11259 0.000186396
          19    0.112758    0.112599 0.000176795
          20    0.110723    0.112505 0.000191233
