#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     116.905     116.905           0
           2     124.308     120.607     2.61744
           3     116.699     119.304     2.04354
           4     121.325     119.809     1.59388
           5      116.39     119.125     1.41424
           6     116.643     118.712     1.23759
           7     115.717     118.284      1.1323
           8     123.766     118.969     1.18007
           9     115.323     118.564     1.11631
          10     121.021      118.81     1.03136
          11     119.724     118.893    0.940943
          12     124.909     119.394    0.987094
          13     123.065     119.677    0.950691
          14     115.478     119.377    0.928886
          15     124.062     119.689     0.91797
          16     122.918     119.891    0.882507
          17     124.639      120.17    0.873674
          18     117.135     120.001    0.841254
          19     124.748     120.251    0.833242
          20     118.099     120.144    0.798498
