#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         inf         inf           0
           2         inf         inf         nan
           3         inf         inf         nan
           4         inf         inf         nan
           5         inf         inf         nan
           6         inf         inf         nan
           7         inf         inf         nan
           8         inf         inf         nan
           9         inf         inf         nan
          10         inf         inf         nan
          11         inf         inf         nan
          12         inf         inf         nan
          13         inf         inf         nan
          14         inf         inf         nan
          15         inf         inf         nan
          16         inf         inf         nan
          17         inf         inf         nan
          18         inf         inf         nan
          19         inf         inf         nan
          20         inf         inf         nan
