#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440265    0.440265           0
           2     0.45503    0.447647  0.00522033
           3     0.44758    0.447625  0.00348026
           4    0.439054    0.445482  0.00320265
           5    0.431784    0.442743  0.00354523
           6      0.4403    0.442336  0.00297763
           7    0.434946     0.44128  0.00273301
           8    0.426837    0.439475  0.00292753
           9    0.450791    0.440732  0.00285953
          10    0.443608     0.44102    0.002588
          11    0.442143    0.441122  0.00235474
          12    0.421447    0.439482  0.00266896
          13    0.435076    0.439143  0.00248509
          14     0.43745    0.439022  0.00231052
          15    0.448421    0.439649  0.00223984
          16    0.436307     0.43944  0.00210956
          17    0.428861    0.438818  0.00207523
          18    0.447247    0.439286  0.00201208
          19    0.439326    0.439288  0.00190618
          20    0.442212    0.439434  0.00181647
