#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.58174     2.58174           0
           2     2.41964     2.50069   0.0573115
           3     2.49577     2.49905   0.0382311
           4     2.52343     2.50515    0.029155
           5     2.48543      2.5012   0.0235891
           6     2.49247     2.49975   0.0197024
           7      2.4363     2.49068   0.0188576
           8      2.5031     2.49224   0.0165641
           9      2.5165     2.49493   0.0149415
          10      2.6781     2.51325   0.0219726
          11     2.52563     2.51438   0.0200039
          12     2.43932     2.50812     0.01929
          13     2.70264     2.52308   0.0228851
          14      2.4698     2.51928   0.0215646
          15     2.43635     2.51375   0.0208236
          16     2.64157     2.52174   0.0209987
          17     2.48173     2.51938    0.019895
          18      2.4874     2.51761   0.0188689
          19     2.53159     2.51834   0.0178901
          20     2.53256     2.51905   0.0170097
