#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.016622    0.016622           0
           2    0.014132    0.015377 0.000880348
           3     0.01832    0.016358 0.000992987
           4    0.010562    0.014909  0.00145923
           5    0.019848   0.0158968  0.00146403
           6    0.016484   0.0159947  0.00122329
           7     0.01623   0.0160283    0.001049
           8    0.015806   0.0160005 0.000918239
           9    0.014946   0.0158833 0.000823654
          10    0.016612   0.0159562 0.000744505
          11    0.013022   0.0156895 0.000723031
          12    0.016718   0.0157752 0.000667839
          13     0.01539   0.0157455 0.000617124
          14    0.013146   0.0155599 0.000600328
          15    0.018542   0.0157587 0.000592312
          16     0.01335   0.0156081 0.000574104
          17    0.012384   0.0154185 0.000570801
          18    0.012488   0.0152557 0.000561827
          19    0.015524   0.0152698 0.000532435
          20    0.015104   0.0152615 0.000505878
