#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.416913    0.416913           0
           2    0.402293    0.409603  0.00516909
           3    0.398517    0.405908  0.00458026
           4    0.402765    0.405122  0.00350194
           5    0.401012      0.4043  0.00289645
           6    0.439238    0.410123  0.00583798
           7    0.472839    0.419082  0.00968724
           8    0.425667    0.419905  0.00851123
           9    0.435954    0.421689  0.00775009
          10    0.377607    0.417281  0.00813268
          11    0.427795    0.418236   0.0074493
          12    0.454382    0.421248  0.00741252
          13     0.43032    0.421946  0.00687509
          14    0.408103    0.420957  0.00645473
          15     0.37782    0.418082   0.0066342
          16    0.424234    0.418466   0.0062307
          17    0.442053    0.419854  0.00601668
          18    0.422763    0.420015  0.00568459
          19    0.426491    0.420356  0.00539561
          20    0.409103    0.419793  0.00515508
