#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050342    0.050342           0
           2    0.053718     0.05203   0.0011936
           3    0.067856   0.0573053  0.00438018
           4    0.056726   0.0571605  0.00328753
           5    0.072386   0.0602056  0.00378617
           6    0.062284    0.060552  0.00317095
           7      0.0604   0.0605303  0.00271803
           8    0.058798   0.0603138  0.00238689
           9    0.061666    0.060464   0.0021264
          10    0.055804    0.059998  0.00196416
          11    0.058676   0.0598778  0.00178927
          12    0.073292   0.0609957  0.00195847
          13     0.06277   0.0611322  0.00181257
          14    0.059498   0.0610154  0.00168685
          15     0.05055   0.0603177  0.00171261
          16    0.069686   0.0609033  0.00170273
          17    0.047744   0.0601292  0.00176979
          18     0.07708   0.0610709  0.00190561
          19     0.06379    0.061214  0.00181068
          20    0.065096   0.0614081  0.00173052
