#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.025158    0.025158           0
           2    0.013622     0.01939  0.00407859
           3    0.020488    0.019756  0.00273543
           4    0.020632    0.019975  0.00206032
           5    0.016884   0.0193568  0.00173853
           6    0.018388   0.0191953  0.00145626
           7    0.020546   0.0193883  0.00126094
           8    0.023184   0.0198627  0.00118924
           9    0.020008   0.0198789  0.00105721
          10    0.016292   0.0195202  0.00101051
          11      0.0174   0.0193275 0.000936846
          12    0.023426    0.019669 0.000918927
          13    0.018598   0.0195866 0.000851925
          14    0.020316   0.0196387 0.000792665
          15    0.018776   0.0195812 0.000741904
          16    0.022526   0.0197652 0.000718002
          17     0.01959   0.0197549  0.00067584
          18    0.020918   0.0198196 0.000641375
          19    0.024236    0.020052 0.000648372
          20    0.017486   0.0199237  0.00062852
