#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.29897     4.29897           0
           2     4.45792     4.37845   0.0561985
           3     4.72755     4.49481    0.102133
           4     4.05986     4.38607    0.121391
           5     4.47724     4.40431   0.0984724
           6     4.41867      4.4067   0.0820894
           7     4.24726     4.38393   0.0734543
           8     4.75603     4.43044   0.0776146
           9     4.45306     4.43295   0.0690315
          10      4.0225     4.39191   0.0733223
          11     4.46161     4.39824     0.06693
          12     4.43584     4.40138   0.0614258
          13      4.4466     4.40486   0.0567991
          14     4.47975     4.41021   0.0529934
          15     4.63873     4.42544    0.051604
          16     4.70346     4.44282   0.0512207
          17     4.34245     4.43691   0.0485468
          18     4.52584     4.44185   0.0461004
          19      4.3638     4.43774   0.0438568
          20     4.39073     4.43539   0.0417269
