#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     43.9466     43.9466           0
           2     42.6186     43.2826    0.469502
           3     43.6405     43.4019    0.327807
           4     43.6887     43.4736    0.253575
           5     41.8984     43.1585    0.347198
           6     39.5023     42.5492     0.62703
           7     43.5167     42.6874    0.552479
           8     39.1834     42.2494    0.633688
           9     40.6872     42.0758     0.58657
          10     35.5581      41.424    0.813033
          11     45.2795     41.7745    0.811159
          12     47.2879      42.234    0.863937
          13     42.6822     42.2685    0.798168
          14     44.7444     42.4453    0.760497
          15     41.8603     42.4063    0.710796
          16     47.4835     42.7236    0.733793
          17     43.3742     42.7619    0.691625
          18     45.5373     42.9161    0.670169
          19     46.3717      43.098    0.659114
          20      42.645     43.0753    0.626547
