#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.869868    0.869868           0
           2    0.863036    0.866452  0.00241548
           3     0.95492    0.895941   0.0241317
           4    0.940176       0.907   0.0204765
           5     0.95632    0.916864    0.018606
           6    0.773148    0.892911   0.0268051
           7     0.84393    0.885914   0.0238716
           8     0.72427    0.865708   0.0281696
           9    0.869986    0.866184   0.0250436
          10    0.778698    0.857435   0.0240188
          11    0.956434    0.866435   0.0234609
          12    0.919218    0.870834   0.0219143
          13    0.936926    0.875918   0.0208099
          14    0.895252    0.877299   0.0193693
          15    0.884782    0.877798   0.0180844
          16    0.871968    0.877433   0.0169578
          17    0.968722    0.882803    0.016789
          18    0.806634    0.878572   0.0163809
          19     0.86017    0.877603   0.0155473
          20    0.678048    0.867625   0.0176842
