#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     28.8252     28.8252           0
           2     26.2678     27.5465     0.90419
           3     25.3157     26.8029    0.855565
           4     24.0638     26.1181    0.873741
           5     26.4337     26.1812    0.701269
           6     23.7358     25.7737    0.692782
           7     26.9058     25.9354    0.612402
           8       26.67     26.0272    0.542691
           9     22.8683     25.6762    0.584989
          10     26.2942      25.738    0.529744
          11      21.983     25.3967    0.581258
          12     26.1315     25.4579    0.536035
          13     22.7636     25.2506    0.533366
          14     24.1552     25.1724    0.500975
          15     28.3427     25.3837    0.510215
          16     24.4949     25.3282    0.481342
          17      27.473     25.4544    0.469271
          18     24.1147     25.3799    0.449064
          19     26.8383     25.4567    0.431939
          20     20.1456     25.1911    0.485153
