#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.4033     79.4033           0
           2     71.4514     75.4273     2.81145
           3     77.8255     76.2267     1.98469
           4     81.4482     77.5321     1.86913
           5      81.273     78.2803     1.63822
           6     72.5778     77.3299     1.61755
           7     79.3579     77.6196     1.41218
           8     83.9205     78.4072     1.43862
           9     69.5882     77.4273     1.57758
          10     76.5612     77.3407      1.4222
          11     75.9793     77.2169     1.29828
          12     82.5607     77.6622     1.26416
          13     82.2796     78.0174     1.21579
          14     80.4524     78.1913     1.14132
          15     72.6882     77.8245     1.12265
          16     73.2239     77.5369     1.08868
          17     86.0472     78.0375     1.13391
          18     77.0148     77.9807     1.07234
          19      85.239     78.3627     1.08181
          20      73.416     78.1154     1.05561
